property_id,locality_name,postal_code,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building,main_city,province
11159934,laeken,1020,,,APARTMENT,APARTMENT,185000.0,BUY_REGULAR,,75.0,INSTALLED,1.0,0.0,0,1.0,5.0,,,,2.0,,,brussel,brussel
11102742,deerlijk,8540,50.8530087,3.3502384,APARTMENT,APARTMENT,315000.0,BUY_REGULAR,,158.0,INSTALLED,1.0,,1,1.0,64.0,,,,2.0,,GOOD,deerlijk,west-vlaanderen
10957885,heist-aan-zee,8301,51.3405977,3.2460977,APARTMENT,APARTMENT,495000.0,BUY_REGULAR,4.0,65.0,INSTALLED,1.0,,0,,,,,,,,,knokke-heist,west-vlaanderen
11145057,oostende,8400,51.2227066,2.9044783,APARTMENT,APARTMENT,265000.0,BUY_REGULAR,1.0,90.0,,1.0,,0,1.0,12.0,,,,3.0,,GOOD,oostende,west-vlaanderen
11143743,sprimont,4140,50.5378955,5.7403161,APARTMENT,APARTMENT,255000.0,BUY_REGULAR,,117.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,,,,,4.0,0.0,AS_NEW,sprimont,luik
11160015,asse,1730,50.919592,4.1853287,APARTMENT,APARTMENT,235000.0,BUY_REGULAR,,123.0,SEMI_EQUIPPED,1.0,,1,1.0,12.0,,,,2.0,,GOOD,asse,vlaams-brabant
11138809,jumet,6040,50.4391972,4.4325324,APARTMENT,APARTMENT,145000.0,BUY_REGULAR,,71.0,SEMI_EQUIPPED,1.0,,1,1.0,40.0,,,,2.0,,GOOD,charleroi,henegouwen
11065424,moorsel,9310,50.9493835,4.0974569,APARTMENT,APARTMENT,525000.0,BUY_REGULAR,,142.0,INSTALLED,1.0,,0,1.0,,,,,3.0,,GOOD,aalst,oost-vlaanderen
10821207,knokke-heist,8300,51.3395302,3.28519,APARTMENT,APARTMENT,695000.0,BUY_REGULAR,1.0,85.0,,,,0,1.0,15.0,,,,2.0,,GOOD,knokke-heist,west-vlaanderen
10892551,vilvoorde,1800,50.9228315,4.4213012,APARTMENT,APARTMENT,370233.0,BUY_REGULAR,,117.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,10.0,,,,4.0,,AS_NEW,vilvoorde,vlaams-brabant
11052731,brussel,1000,50.8344993,4.3492529,APARTMENT,APARTMENT,169000.0,BUY_REGULAR,,37.0,SEMI_EQUIPPED,1.0,0.0,0,,,,,,,0.0,GOOD,brussel,brussel
11138061,neufchâteau,6840,49.8428208,5.4362756,APARTMENT,APARTMENT,249000.0,BUY_REGULAR,,97.0,USA_INSTALLED,1.0,0.0,0,1.0,8.0,,,,,0.0,AS_NEW,neufchâteau,luxemburg
11103677,gent,9000,51.0512181,3.7261527,APARTMENT,APARTMENT,674000.0,BUY_REGULAR,,136.0,,,0.0,0,1.0,30.0,,,,4.0,,,gent,oost-vlaanderen
11155418,orp-jauche,1350,50.6939596,4.9869619,APARTMENT,DUPLEX,349900.0,BUY_REGULAR,,175.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,15.0,,,,2.0,0.0,AS_NEW,orp-jauche,waals-brabant
11108230,vorst,1190,50.817066,4.340233,APARTMENT,APARTMENT,250000.0,BUY_REGULAR,,70.0,USA_HYPER_EQUIPPED,1.0,,0,,,,,,,0.0,GOOD,vorst,brussel
