property_id,locality_name,postal_code,street_name,house_number,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building
10978420,Blankenberge,8370,De Wandelaar,31,51.3147705,3.1446306,APARTMENT,FLAT_STUDIO,99000,BUY_REGULAR,1,28,,,,0,1,,,,,,,TO_RENOVATE
11022668,Oostende,8400,Leopold III-laan,2,51.2273984,2.9241563,APARTMENT,APARTMENT,1199000,BUY_REGULAR,9,,HYPER_EQUIPPED,1,,0,,,,,,,,GOOD
11142007,RONSE,9600,Rode Mutslaan,179,50.7471977,3.574221,HOUSE,HOUSE,210000,BUY_REGULAR,,170,SEMI_EQUIPPED,1,,0,,,,,785,2,,GOOD
11158508,Assent,3460,Staatsbaan,69,50.955787,5.0077235,HOUSE,HOUSE,255000,BUY_REGULAR,8,110,HYPER_EQUIPPED,1,,0,,,,,1775,,,
9353457,Beringen,3580,Graaf van Loonstraat,,51.0483158,5.2261095,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
11155928,Sint-Idesbald,8670,Koninklijke Baan,258,51.1135017,2.625277,APARTMENT,APARTMENT,335000,BUY_REGULAR,11,85,INSTALLED,1,,0,,,,,,,,
10405089,Puurs,2870,Palingstraat,22,51.0744779,4.2786676,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
10634220,LOUVEIGNÉ,4141,Rue de l'Esplanade,52,50.5386091,5.7465064,APARTMENT,APARTMENT,599000,BUY_REGULAR,,625,HYPER_EQUIPPED,1,1,0,1,,,,,3,,GOOD
11146308,Gent Zwijnaarde,9052,Hutsepotstraat,196,51.00886,3.7022223,APARTMENT,APARTMENT,419368,BUY_REGULAR,,99,HYPER_EQUIPPED,1,0,0,1,11,,,,2,0,
11109511,Bruxelles,1000,Parkdreef,45,50.8665959,4.3449,APARTMENT,GROUND_FLOOR,407000,BUY_REGULAR,,104,HYPER_EQUIPPED,1,,0,1,13,,,,4,0,AS_NEW
11022854,Knokke-Heist,8300,Bayauxlaan,66,51.3480117,3.2802765,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
10782014,Lummen,3560,Vandermarckestraat,6,50.9895907,5.1886428,APARTMENT,APARTMENT,328000,BUY_REGULAR,9,100,INSTALLED,1,,0,1,40,,,,,,
11151551,Wommelgem,2160,Handboogstraat,33,51.203389,4.5210978,APARTMENT,APARTMENT,238000,BUY_REGULAR,,69,USA_HYPER_EQUIPPED,1,,1,1,9,,,,4,,
10805325,Antwerpen (2000),2000,Frankrijklei,41,51.2166258,4.4151518,APARTMENT,FLAT_STUDIO,163000,BUY_REGULAR,6,23,INSTALLED,1,,0,,,,,,,,
11143599,Deurne (2100),2100,Antoon Van den Bosschelaan,125,51.2303681,4.4764142,APARTMENT,APARTMENT,195000,BUY_REGULAR,9,82,INSTALLED,1,,0,,,,,,,,
9551782,Ingelmunster,8770,Waterstraat,2,50.9180739,3.2520029,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
11159376,RAMIOUL,4400,Rue Max Buset,150,50.5800179,5.4172779,HOUSE,VILLA,325000,BUY_REGULAR,,114,SEMI_EQUIPPED,1,,1,1,45,1,3700,4039,4,,GOOD
11143117,SINAAI,9112,Hulstbaan,45,51.1532875,4.0421439,HOUSE,HOUSE,765000,BUY_REGULAR,,425,,,,1,1,15,1,56,0,,,
11159346,HOUTHALEN,3530,Limburgplein,7,50.9277002,5.3384709,APARTMENT,PENTHOUSE,497632,BUY_REGULAR,,164,INSTALLED,1,,0,1,41,,,,2,,
11148926,Liège Grivegnée,4030,Avenue de l'Agriculture,66,50.6281716,5.6082656,APARTMENT,FLAT_STUDIO,120000,BUY_REGULAR,,35,USA_SEMI_EQUIPPED,1,0,0,,,,,,2,0,AS_NEW
10927386,Antwerpen,2000,Italiëlei,237,51.2205307,4.4169577,APARTMENT,KOT,110000,BUY_REGULAR,1,17,INSTALLED,1,1,0,,,1,40,,2,0,AS_NEW
11151582,Mechelen,2800,Leuvensesteenweg,"6, 2",51.0211667,4.4892252,APARTMENT,APARTMENT,240000,BUY_REGULAR,,74,USA_INSTALLED,1,,1,1,,,,,2,,TO_BE_DONE_UP
11150228,Vilvoorde,1800,Leuvensestraat,67-73,50.9280834,4.4277078,APARTMENT,APARTMENT,244750,BUY_REGULAR,,72,INSTALLED,1,0,0,1,6,,,,4,0,AS_NEW
11146623,Fléron,4620,Rue Heid des Chênes,78,50.6289705,5.6741517,HOUSE,HOUSE,275000,BUY_REGULAR,,184,INSTALLED,1,0,0,1,51,1,239,447,3,1,GOOD
10853149,Grimbergen,1853,Valkendal,18,50.9029121,4.3588329,APARTMENT,APARTMENT,190000,BUY_REGULAR,,55,SEMI_EQUIPPED,1,0,0,,,,,,2,0,GOOD
10929354,Deinze,9800,Tolpoortstraat,155,50.9777315,3.5320013,APARTMENT,APARTMENT,350000,BUY_REGULAR,9,97,INSTALLED,1,,0,1,20,,,,,,GOOD
11160749,HOBOKEN,2660,,,,,APARTMENT,APARTMENT,279000,BUY_REGULAR,,85,INSTALLED,1,,0,1,,,,,,,GOOD
11159603,Machelen Diegem,1831,Haachtsesteenweg,29,50.8977549,4.4352458,APARTMENT,GROUND_FLOOR,325000,BUY_REGULAR,,95,,,0,0,1,36,1,100,,2,,
11002641,LIÈGE,4000,Rue Louvrex,75,50.6347944,5.5640976,APARTMENT,APARTMENT,395000,BUY_REGULAR,,200,INSTALLED,1,,0,,,,,,2,,TO_BE_DONE_UP
10919759,Zeebrugge,8380,Brusselstraat,41,51.3279664,3.1782793,APARTMENT,APARTMENT,415000,BUY_REGULAR,8,133,INSTALLED,1,,0,,,,,,,,
11091432,Ganshoren,1083,,,,,APARTMENT,APARTMENT,415000,BUY_REGULAR,,,HYPER_EQUIPPED,1,,1,1,19,,,,2,,AS_NEW
11012801,Woluwe-Saint-Lambert,1200,Chemin des Deux Maisons,82,50.8528266,4.4278733,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
10822766,Knokke-Heist,8300,Sportlaan,6 2.13,51.3435412,3.2836473,APARTMENT,SERVICE_FLAT,550000,BUY_REGULAR,1,64,,,,0,1,8,,,,2,,GOOD
11145445,Ville de Bruxelles,1000,Rue Du Marché Aux Herbes - Grasmarkt,46,50.8476358,4.3529321,APARTMENT,APARTMENT,375000,BUY_REGULAR,,92,INSTALLED,1,,0,1,1,,,,,0,AS_NEW
11034290,ARLON,6700,Rue de Sesselich,227,49.6707455,5.8089243,APARTMENT,APARTMENT,350000,BUY_REGULAR,,107,INSTALLED,1,,0,1,,,,,2,,GOOD
11076850,Aalst (9300),9300,,,,,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,
11134306,ANTWERPEN 2000,2000,Nationalestraat,123,51.2137153,4.3981225,APARTMENT,APARTMENT,319000,BUY_REGULAR,,95,INSTALLED,1,,1,,,,,,,,GOOD
10994073,WOLUWE-SAINT-LAMBERT,1200,Paul Hymanslaan,130,50.8466281,4.4357081,APARTMENT,APARTMENT,335000,BUY_REGULAR,,115,SEMI_EQUIPPED,1,,1,1,26,,,,,,TO_RENOVATE
11145718,Lummen,3560,Pastorijstraat,41,51.001316,5.1454791,HOUSE,HOUSE,358000,BUY_REGULAR,8,135,,,,0,,,,,435,,,
11154288,Jambes,5100,,,,,APARTMENT,APARTMENT,335000,BUY_REGULAR,,140,INSTALLED,1,,1,1,,,,,2,,
11138056,Leuven,3000,Ridderstraat,127,50.884653,4.6924267,APARTMENT,GROUND_FLOOR,289000,BUY_REGULAR,,40,USA_HYPER_EQUIPPED,1,,0,1,,,,,2,0,GOOD
11099432,Bruxelles,1000,,,,,APARTMENT,APARTMENT,365000,BUY_REGULAR,,86,USA_HYPER_EQUIPPED,1,0,0,1,,,,,,0,AS_NEW
11146414,Dikkelvenne,9890,Boomstraat,26,50.919355,3.7180771,HOUSE,HOUSE,675000,BUY_REGULAR,,248,,,,0,1,,,,3466,4,,TO_RENOVATE
11155163,De Haan,8420,Torenhofstraat,2,51.2571575,2.9994248,APARTMENT,APARTMENT,95000,BUY_REGULAR,2,31,,,,0,,,,,,,,GOOD
